ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE,ANIO,MES
407367,SAN_JUAN_DE_LURIGANCHO,2024-02-24,190000,-76.9992,-11.9816,240,38.09,11.27,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2024,2
18815,SAN_BORJA,2017-02-23,030000,-77.0077,-12.1086,128,69.34,17,17,LIMA,LIMA,SAN_BORJA,150130,20240430,2017,2
424263,SAN_MARTIN_DE_PORRES,2016-09-29,190000,-77.0845,-12.0089,56,50.06,16.7,15.8,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2016,9
92223,CAMPO_DE_MARTE,2016-03-10,190000,-77.0432,-12.0705,117,40.06,6.2,15.7,LIMA,LIMA,JESUS_MARIA,150113,20240430,2016,3
271555,VILLA_MARIA_DEL_TRIUNFO,2017-12-26,230000,-76.92,-12.1664,272,132.7,18.6,35.8,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2017,12
88741,CAMPO_DE_MARTE,2015-10-17,170000,-77.0432,-12.0705,117,39.67,14.8,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2015,10
19608,SAN_BORJA,2017-03-28,040000,-77.0077,-12.1086,128,NA,8.7,16.9,LIMA,LIMA,SAN_BORJA,150130,20240430,2017,3
29548,SAN_BORJA,2018-05-16,080000,-77.0077,-12.1086,128,57.15,15.1,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2018,5
36900,SAN_BORJA,2019-03-18,160000,-77.0077,-12.1086,128,90.5,17.5,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2019,3
564408,CARABAYLLO,2023-05-28,040000,-77.0336,-11.9022,179,21.32,18.21,NA,LIMA,LIMA,CARABAYLLO,150106,20240430,2023,5
384474,SAN_JUAN_DE_LURIGANCHO,2021-07-15,220000,-76.9992,-11.9816,240,NA,33.83,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2021,7
337984,SAN_JUAN_DE_LURIGANCHO,2016-03-26,200000,-76.9992,-11.9816,240,61.43,14.5,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2016,3
396189,SAN_JUAN_DE_LURIGANCHO,2022-11-16,010000,-76.9992,-11.9816,240,35.48,23.86,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2022,11
262193,VILLA_MARIA_DEL_TRIUNFO,2016-12-01,210000,-76.92,-12.1664,272,68.3,15.7,9.7,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,12
258947,VILLA_MARIA_DEL_TRIUNFO,2016-07-19,150000,-76.92,-12.1664,272,61.81,40.9,28.4,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,7
121962,CAMPO_DE_MARTE,2019-08-01,220000,-77.0432,-12.0705,117,26.86,22.78,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2019,8
235178,SANTA_ANITA,2023-03-03,060000,-76.9714,-12.043,253,30.94,21.95,11.2,LIMA,LIMA,SANTA_ANITA,150137,20240430,2023,3
385326,SAN_JUAN_DE_LURIGANCHO,2021-08-20,100000,-76.9992,-11.9816,240,NA,50.4,NA,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2021,8
